,iter,eta,gamma,theta_oak,theta_pine,SDe,SDs,m,loglik
1,200,0.171974328,0.000504436,23.7764901,25.82868936,0.700884399,0.677902891,0.082378442,1508.249056
2,400,0.113244222,0.027934095,23.74998156,25.13803988,0.604541367,0.95054135,0.083232828,1498.03098
3,600,0.123433583,0.016606099,23.5252996,25.21876884,0.830776199,0.716240221,0.08274415,1506.939263
4,800,0.136371852,0.014787856,23.86017919,24.46261638,1.193527866,0.714852326,0.084226271,1490.101451
5,1000,0.15638726,0.018287939,23.62130662,25.30178288,1.170885955,0.847998452,0.085224416,1484.238346
6,1200,0.205599523,0.013831493,23.77589773,24.67017703,0.635134886,0.79662281,0.083940905,1515.950153
7,1400,0.187533774,0.005279287,23.75156166,25.06794133,0.62984134,0.641752661,0.08137431,1503.849485
8,1600,0.204790335,0.004709806,23.32493933,25.37001539,0.696936676,0.771625413,0.083908735,1491.851
9,1800,0.201957812,0.039833087,23.69565734,24.52090949,0.822601284,0.85252636,0.084764175,1480.374144
10,2000,0.261939828,0.016825669,23.50743273,24.63872853,0.913874287,0.772230578,0.081665495,1486.383
11,2200,0.279324426,0.000729818,23.91324898,24.51069587,1.001218879,0.920226267,0.086539769,1437.675411
12,2400,0.266057686,0.003183014,24.0032497,24.68259986,0.639728423,0.803919816,0.085791502,1505.951253
13,2600,0.150160101,0.012648742,24.09150539,25.43495063,0.565549132,0.925881791,0.08571495,1476.859666
14,2800,0.163205823,0.016258607,23.67273333,25.03602487,0.93205603,0.549818978,0.08311781,1504.169982
15,3000,0.114082173,0.009849357,23.55233356,25.73527809,0.863991422,0.589140157,0.084568504,1517.747961
16,3200,0.190093237,0.006241509,23.52763679,25.22813964,0.531381601,0.73967748,0.080084183,1497.699545
17,3400,0.296001395,0.014324939,23.47375556,25.00077874,0.96973135,0.679204262,0.086156358,1501.09651
18,3600,0.270012046,0.024868181,23.73958855,24.99845712,1.08018572,0.539093371,0.084282264,1504.946493
19,3800,0.25920028,0.001432798,23.92785121,24.69920887,0.826468916,0.525575349,0.08210085,1506.021139
20,4000,0.250131709,0.000801747,23.85741159,24.68033,0.643662443,0.712587576,0.084808336,1511.133488
21,4200,0.22609078,0.015068016,24.07048701,24.72323558,0.892446457,0.858173676,0.08518648,1493.079819
22,4400,0.163652901,0.007101825,23.73125602,25.14076821,0.62157717,0.872389565,0.084499065,1512.89764
23,4600,0.09474697,0.009110606,23.63859244,24.4597821,0.87922081,0.687064893,0.084236742,1500.022295
24,4800,0.072786811,0.002106219,22.66247698,27.18281369,0.608611665,0.81464094,0.085367861,1507.464115
25,5000,0.037224107,0.002696338,22.26818345,28.12525779,0.718634331,0.814121289,0.085684317,1467.340939
26,5200,0.07543299,0.00305586,22.65334123,27.09256233,0.685543476,0.67366325,0.086605961,1495.996738
27,5400,0.077705937,0.002339406,23.4237831,27.11704211,0.804730225,0.634833368,0.083658031,1519.112333
28,5600,0.144008323,0.012730601,23.6644427,25.34465551,0.591094567,0.760540034,0.084515461,1514.170647
29,5800,0.131337179,0.005701701,23.96358252,25.07584546,0.625975619,0.728713042,0.084788804,1510.969684
30,6000,0.05324248,0.027359562,23.65582894,25.39664837,0.744251688,0.784597269,0.0856025,1506.262366
31,6200,0.025204653,0.020055062,23.71318777,25.47407974,1.001873479,0.757069579,0.08323523,1496.025236
32,6400,0.045559573,0.010393878,23.71582651,25.9963375,0.716169344,0.604550555,0.082688673,1507.429146
33,6600,0.048426068,0.00494938,23.61843249,26.50568298,0.725718399,0.740021992,0.083983774,1510.90075
34,6800,0.074836512,0.011704842,23.51531906,25.64157312,1.122267965,0.622511027,0.081391562,1502.633309
35,7000,0.042593486,0.005917001,23.54816724,26.0598954,0.714901193,0.76479885,0.084332352,1513.025104
36,7200,0.098318869,0.001979911,23.73434714,25.38698839,0.553949432,0.797952187,0.083049338,1508.734376
37,7400,0.139254164,0.000759223,23.81707921,25.4635434,0.675695251,0.659694352,0.083462363,1514.295217
38,7600,0.164931717,0.001052096,23.69956143,25.36384211,0.674653077,0.66872118,0.084517305,1488.01526
39,7800,0.135733085,0.016891245,23.70336228,24.22434282,0.82013822,0.774453834,0.084352071,1496.468548
40,8000,0.219378121,0.015739173,23.1783788,25.4259303,0.774146338,0.603249515,0.081645138,1481.866654
41,8200,0.229802713,0.014971988,23.49885224,25.16305184,0.933587469,0.599993919,0.083587101,1511.612586
42,8400,0.180552418,0.004210168,23.27814249,26.11359064,1.025296253,0.509741415,0.086325266,1506.476803
43,8600,0.183019027,0.002808638,23.86462106,25.57122596,0.803433715,0.599719376,0.0841693,1503.495125
44,8800,0.191768712,0.005927347,23.41095931,25.80422793,0.811302623,0.522882729,0.084793883,1517.401496
45,9000,0.152127942,0.027827977,23.88629335,25.09913524,1.019914843,0.53537153,0.08386845,1485.477064
46,9200,0.14116124,0.004176773,23.02711092,26.92812146,0.888798025,0.518823461,0.081384749,1506.331337
47,9400,0.126818019,0.010915961,23.42331386,25.88297445,0.730760869,0.605288786,0.084202225,1514.394397
48,9600,0.088623026,0.005157943,23.25477933,26.47986604,0.677451399,0.736781061,0.083512934,1511.791882
49,9800,0.077588578,0.010345987,23.73534119,25.92760599,0.665578233,0.658268516,0.086247671,1480.184687
50,10000,0.098080119,0.019394635,23.72232682,25.488239,0.609950649,0.749572513,0.08527378,1508.672485
51,10200,0.145018951,0.002700735,23.71615025,25.37104973,0.889126795,0.500441879,0.07968745,1486.679207
52,10400,0.050214321,0.007173137,23.67327801,26.98493748,0.856456672,0.510546217,0.084613041,1511.983642
53,10600,0.09366069,0.006086492,23.83875763,26.44374437,0.993006046,0.585376694,0.085856501,1493.838399
54,10800,0.089755258,0.009729367,23.61366948,26.03800414,0.888925791,0.531384978,0.082459756,1507.886894
55,11000,0.102868287,0.009593972,23.56247021,26.4684144,0.903883618,0.558866536,0.083186314,1511.390045
56,11200,0.036785101,0.007200015,23.64396307,26.41001246,1.06455938,0.691115851,0.083132693,1500.67374
57,11400,0.056536509,0.003849091,23.68676426,27.27247799,0.817802936,0.634893577,0.081903934,1491.060446
58,11600,0.01731594,0.009759199,23.41649946,26.27578878,1.028598055,0.711715597,0.082773796,1495.400868
59,11800,0.094075502,0.011281887,23.63004961,25.09749277,0.594496867,0.829314146,0.083354922,1514.500935
60,12000,0.06412788,0.012320474,24.00298093,24.50627311,0.623404446,0.838385395,0.085490487,1492.637118
61,12200,0.075281347,0.003421827,23.75251542,25.7609153,0.571968962,0.733997284,0.082694788,1513.411479
62,12400,0.108091797,0.005869275,23.41312945,26.04025745,0.607961306,0.749219222,0.083055292,1512.379915
63,12600,0.127575455,0.003879135,23.62006994,25.54180434,0.787460378,0.605450067,0.082894933,1514.587821
64,12800,0.124289146,0.005028516,23.65777805,26.02849038,1.040102945,0.520981292,0.083025064,1505.081945
65,13000,0.167579553,0.010234181,23.4296597,25.77692029,0.755269518,0.627077783,0.085788766,1500.076437
66,13200,0.185259629,0.006127679,23.39152852,25.01649092,0.57850426,0.674031734,0.084197529,1477.252895
67,13400,0.048001523,0.019488758,23.42095031,26.02049522,0.653860496,0.808964875,0.085265342,1498.770269
68,13600,0.122990505,0.01112339,23.64443458,25.48898197,0.922640498,0.611499312,0.084855401,1513.555441
69,13800,0.081476724,0.019936423,23.68795005,25.26327472,0.719031848,0.903218286,0.083725892,1505.866932
70,14000,0.10799661,0.004956032,23.55731712,25.30499819,0.638415756,0.717976143,0.084434268,1514.216761
71,14200,0.112886372,0.016390663,23.83861891,25.15669803,0.643038136,0.819004696,0.084793183,1508.982983
72,14400,0.17125942,0.007872477,23.86147389,24.77658433,0.843220859,0.680032781,0.084640059,1499.419389
73,14600,0.184215415,0.010676385,23.51418809,25.15377996,0.892812485,0.609330767,0.081702995,1507.318394
74,14800,0.098094297,0.023924603,23.68149741,25.89719295,0.986046039,0.66976767,0.082906865,1506.769657
75,15000,0.129343568,0.00055832,23.71154049,25.26619958,0.647145111,0.857700153,0.084635308,1503.920053
76,15200,0.191435016,0.006338291,23.75150392,25.15887212,0.872953771,0.518426036,0.083131909,1508.606584
77,15400,0.176050945,0.013187784,23.65557323,25.09264801,1.002516648,0.539818554,0.081814639,1506.865851
78,15600,0.170656159,0.008304606,23.35388526,25.45932677,0.963854721,0.556694545,0.08359546,1511.336831
79,15800,0.110897816,0.008584182,23.48927591,26.16552785,1.053425084,0.510665643,0.085832035,1510.34054
