ID,Sex,Habitat Type,Ave_Nares (mm)
1363-74503,M,Oak,25.87
1363-74513,M,Oak,23.84
1363-74520,F,Oak,24.79
1363-74521,F,Oak,22.42
1363-74522,M,Oak,23.33
1363-74528,F,Oak,22.88
1363-74529,F,Oak,23.54
1363-74530,F,Oak,24.35
1363-74531,F,Oak,23.54
1363-74532,M,Oak,25.26
1363-74534,F,Oak,21.61
1363-74536,M,Oak,24.29
1363-74537,M,Oak,24.89
1363-74539,M,Oak,26.32
1363-74540,F,Oak,22.52
1363-74541,F,Oak,22.4
1363-74542,M,Oak,23.65
1363-74543,F,Oak,21.98
1363-74544,M,Oak,25.33
1363-74550,M,Oak,23.56
1363-74553,M,Oak,24.83
1363-74557,F,Oak,22.84
1363-74558,M,Oak,24.06
1363-74559,M,Oak,22.6
1363-74569,F,Oak,23.86
1363-74573,M,Oak,24.74
1363-74577,M,Oak,26.64
1363-74580,M,Oak,24.52
1363-74581,F,Oak,23.49
1363-74583,M,Oak,25
1363-74586,M,Oak,24.55
1363-74590,M,Oak,23.31
1363-74597,M,Oak,24.14
1363-74598,M,Oak,23.58
1363-74599,M,Oak,23.13
1363-74600,F,Oak,21.56
1513-12439,F,Oak,23.38
1513-13234,M,Oak,26.13
1513-13455,M,Oak,25.75
1513-13458,F,Oak,21.77
1513-13459,F,Oak,23.06
1513-13466,F,Oak,24.45
1573-28035,M,Oak,24.89
1573-28044,F,Oak,22.27
1573-28052,M,Oak,23.98
1573-28069,M,Oak,23.7
1573-28078,F,Oak,23.23
1573-28082,M,Oak,25.47
1573-28094,M,Oak,23.96
1573-28096,F,Oak,21.82
1583-92701,M,Oak,23.64
1583-92703,M,Oak,29.61
1583-92704,M,Oak,26.13
1583-92718,M,Oak,25.32
1583-92726,M,Oak,24.89
1583-92728,M,Oak,24.66
1583-92739,M,Oak,24.48
1583-92747,M,Oak,24.64
1583-92749,M,Oak,25.24
1603-78715,F,Oak,22.13
1603-78716,M,Oak,23.6
1603-78717,F,Oak,22.47
1603-78718,M,Oak,25
1603-78719,M,Oak,23.91
1603-78720,F,Oak,20.94
1603-78723,F,Oak,21.6
1603-78733,F,Oak,21.34
1603-78734,F,Oak,22.69
1603-78735,M,Oak,23.18
1603-78736,F,Oak,20.24
1603-78743,M,Oak,25.18
1603-78744,F,Oak,24.4
1603-78750,F,Oak,22.58
1603-78753,F,Oak,21.31
1603-78755,F,Oak,23.22
1603-78756,M,Oak,24.99
1603-78758,F,Oak,23.75
1603-78764,F,Oak,22.64
1603-78769,M,Oak,25.2
1603-78771,F,Oak,22.65
1603-78772,M,Oak,25.98
