,ID,Sex,Habitat,Ave_Nares_mm
1,1363-74503,M,Oak,25.87
2,1363-74513,M,Oak,23.84
3,1363-74520,F,Oak,24.79
4,1363-74521,F,Oak,22.42
5,1363-74522,M,Oak,23.33
6,1363-74528,F,Oak,22.88
7,1363-74529,F,Oak,23.54
8,1363-74530,F,Oak,24.35
9,1363-74531,F,Oak,23.54
10,1363-74532,M,Oak,25.26
11,1363-74534,F,Oak,21.61
12,1363-74536,M,Oak,24.29
13,1363-74537,M,Oak,24.89
14,1363-74539,M,Oak,26.32
15,1363-74540,F,Oak,22.52
16,1363-74541,F,Oak,22.4
17,1363-74542,M,Oak,23.65
18,1363-74543,F,Oak,21.98
19,1363-74544,M,Oak,25.33
20,1363-74550,M,Oak,23.56
21,1363-74553,M,Oak,24.83
22,1363-74557,F,Oak,22.84
23,1363-74558,M,Oak,24.06
24,1363-74559,M,Oak,22.6
25,1363-74569,F,Oak,23.86
26,1363-74573,M,Oak,24.74
27,1363-74577,M,Oak,26.64
28,1363-74580,M,Oak,24.52
29,1363-74581,F,Oak,23.49
30,1363-74583,M,Oak,25
31,1363-74586,M,Oak,24.55
32,1363-74590,M,Oak,23.31
33,1363-74597,M,Oak,24.14
34,1363-74598,M,Oak,23.58
35,1363-74599,M,Oak,23.13
36,1363-74600,F,Oak,21.56
37,1513-12439,F,Oak,23.38
38,1513-13234,M,Oak,26.13
39,1513-13455,M,Oak,25.75
40,1513-13458,F,Oak,21.77
41,1513-13459,F,Oak,23.06
42,1513-13466,F,Oak,24.45
43,1573-28035,M,Oak,24.89
44,1573-28044,F,Oak,22.27
45,1573-28052,M,Oak,23.98
46,1573-28069,M,Oak,23.7
47,1573-28078,F,Oak,23.23
48,1573-28082,M,Oak,25.47
49,1573-28094,M,Oak,23.96
50,1573-28096,F,Oak,21.82
51,1583-92701,M,Oak,23.64
52,1583-92703,M,Oak,29.61
53,1583-92704,M,Oak,26.13
54,1583-92718,M,Oak,25.32
55,1583-92726,M,Oak,24.89
56,1583-92728,M,Oak,24.66
57,1583-92739,M,Oak,24.48
58,1583-92747,M,Oak,24.64
59,1583-92749,M,Oak,25.24
60,1603-78715,F,Oak,22.13
61,1603-78716,M,Oak,23.6
62,1603-78717,F,Oak,22.47
63,1603-78718,M,Oak,25
64,1603-78719,M,Oak,23.91
65,1603-78720,F,Oak,20.94
66,1603-78723,F,Oak,21.6
67,1603-78733,F,Oak,21.34
68,1603-78734,F,Oak,22.69
69,1603-78735,M,Oak,23.18
70,1603-78736,F,Oak,20.24
71,1603-78743,M,Oak,25.18
72,1603-78744,F,Oak,24.4
73,1603-78750,F,Oak,22.58
74,1603-78753,F,Oak,21.31
75,1603-78755,F,Oak,23.22
76,1603-78756,M,Oak,24.99
77,1603-78758,F,Oak,23.75
78,1603-78764,F,Oak,22.64
79,1603-78769,M,Oak,25.2
80,1603-78771,F,Oak,22.65
81,1603-78772,M,Oak,25.98
82,1603-78773,F,Oak,22.11
83,1603-78776,M,Oak,24.67
84,1603-78779,F,Oak,20.96
85,1603-78782,F,Oak,20.98
86,1603-78785,F,Oak,23.79
87,1603-78786,F,Oak,24.83
88,1603-78799,F,Oak,23.66
89,1603-78800,F,Oak,23.76
90,1603-79101,F,Oak,24.52
91,1603-79105,F,Oak,23.76
92,1603-79106,M,Oak,24.35
93,1603-79114,F,Oak,22.27
94,1603-79115,F,Oak,23.55
95,1603-79130,F,Oak,23.39
96,1603-79131,M,Oak,25.79
97,1603-79132,F,Oak,22.98
98,1603-79133,F,Oak,23.98
99,1603-79136,F,Oak,22.56
100,1603-79142,M,Oak,24.62
101,1603-79144,M,Oak,24.9
102,1603-79145,M,Oak,26.23
103,1603-79150,M,Oak,24.39
104,1603-79151,F,Oak,21.32
105,1603-79152,M,Oak,24.08
106,1603-79153,F,Oak,23.28
107,1603-79154,M,Oak,22.84
108,1603-79155,F,Oak,22.2
109,1603-79157,F,Oak,23.22
110,1603-79158,F,Oak,21.6
111,1603-79159,M,Oak,24.13
112,1603-79160,F,Oak,20.69
113,1603-79161,M,Oak,24.05
