,delta_M,delta_F
1,0.844796275,1.150275874
2,0.7711687,0.787601264
3,1.317093423,1.073714044
4,0.705144231,0.863529998
5,1.089829747,0.931728066
6,0.585893737,0.830699175
7,0.580958851,0.659043152
8,0.908102317,1.038874137
9,0.807972499,0.626538199
10,0.59192812,0.477024375
11,0.41120003,0.44483178
12,0.638922639,0.770080191
13,1.116791329,1.147956267
14,0.69810736,0.977388745
15,0.64142087,0.523268364
16,1.022782544,1.294341439
17,0.73270515,0.810568558
18,0.859578247,0.774811329
19,1.345631097,1.337426329
20,0.465522981,0.82512468
21,0.877696539,0.787529875
22,0.425924278,0.523559672
23,0.167870366,0.466039106
24,0.648573764,0.946058604
25,0.062941666,0.215933701
26,0.886736765,1.035756207
27,0.98832257,0.763702627
28,0.882184855,0.958196106
29,0.366784125,0.315425953
30,0.363797514,0.471014552
31,0.753634582,0.634373071
32,0.776847314,0.525558301
33,-0.02870695,0.226834831
34,0.895360135,0.621079981
35,0.559610937,0.784387196
36,1.42537934,2.069321654
37,0.363255809,0.587994217
38,0.527909127,0.544862009
39,0.939540404,0.780190237
40,0.713438863,0.943448229
41,0.530718514,0.640702279
42,0.931590659,1.19175329
43,0.45445588,0.77811607
44,0.959918219,1.145391352
45,0.888527132,1.169462716
46,0.591623433,0.829932586
47,0.689887571,0.612808415
48,0.828851367,1.000967528
49,0.565375013,0.753239331
50,0.656181424,0.537683394
51,1.304316943,1.179651415
52,0.591060548,0.530184348
53,1.337099322,1.548580874
54,0.91277852,1.328586192
55,0.760184261,0.965783825
56,0.730355615,0.543498485
57,0.780211491,1.082145427
58,0.876078743,1.058531044
59,0.751347998,0.695500491
60,1.516286738,1.860050963
61,0.642666615,0.706585463
62,0.546612557,0.508642632
63,1.116573642,1.097819138
64,0.652810832,0.872183822
65,0.663209328,0.703797451
66,0.671864663,0.468624519
67,0.894287543,0.88821834
68,0.267581596,0.410560665
69,0.303822014,0.382782096
70,0.948765168,0.804213801
71,1.110710088,1.248253244
72,1.181569558,1.176369768
73,0.444366977,0.495882364
74,1.015100954,1.124000722
75,0.333481048,0.350023344
76,0.308498056,0.490755811
77,1.01510342,1.212193314
78,0.682534795,0.878593152
79,1.073585862,1.258087297
80,0.639917506,0.549158763
81,0.658951575,0.630762838
82,0.557142355,0.595735555
83,0.599880817,0.693578093
84,0.437229329,0.485927934
85,0.544769044,0.928423773
86,0.342054161,0.618971019
87,0.678226598,0.428594761
88,0.462338751,0.456360763
89,0.587872104,0.513970815
90,0.885538211,1.226853873
91,0.455177833,0.71529944
92,1.360135435,1.399463275
93,0.566849165,0.631233532
94,0.109910087,0.357703623
95,0.845137171,0.835015617
96,0.509321305,0.438693443
97,0.922760102,0.757808017
98,0.421938389,0.395536254
99,1.065378596,0.923447727
100,1.324596247,1.521747925
101,0.738759039,0.96870684
102,0.82663331,0.930432075
103,1.649217252,1.76266807
104,0.697553681,0.669201291
105,0.300563676,0.809552701
106,0.822487844,0.634745912
107,0.797885612,1.023390441
108,1.493889141,1.465669448
109,0.798401914,0.540373886
110,1.173564177,1.287515129
111,0.889310524,0.828278637
112,0.687782274,0.831567636
113,1.106954521,0.987835192
114,0.955074133,0.900103669
115,0.288453322,0.529442744
116,0.701464054,0.53758934
117,0.816630192,0.7405743
118,0.719975159,0.567325727
119,1.111311577,1.24117169
120,0.906536724,1.036732453
121,0.743242828,0.813130584
122,0.537500717,0.585081564
123,0.826182596,0.8366199
124,1.089967685,1.338338827
125,1.156470181,0.943967491
126,0.910721867,0.953303473
127,0.68140653,0.66911959
128,0.907866193,0.938574159
129,0.350964491,0.538760793
130,0.405637541,0.41785264
131,0.43280094,0.509410572
132,1.133319466,1.128838165
133,0.884174767,1.259448895
134,0.698080357,0.717216973
135,0.573440783,0.010137817
136,1.072566912,1.157309766
137,0.574197754,0.641429143
138,0.992402463,1.273280575
139,0.835164918,0.975169413
140,0.445408303,0.483326077
141,1.189945035,1.404765114
142,0.896750701,0.823510621
143,0.674818138,0.683943991
144,0.628646031,0.537089484
145,0.838406995,0.82694589
146,0.855939296,0.695163095
147,0.713977735,0.777811283
148,0.692263469,0.884778567
149,1.023679609,0.883339229
150,0.275315998,0.347271311
151,0.857868811,1.076624695
152,0.61740764,0.777155242
153,0.835990824,1.22183443
154,0.253617602,0.416867845
155,0.79288908,0.763784257
156,1.104272025,1.068709091
157,0.326496484,0.483119528
158,0.577592,0.540101293
159,0.350834682,0.81156504
160,0.506364934,0.876592232
161,0.739076228,0.814302853
162,0.572617414,0.64480983
163,0.688693469,0.812093289
164,0.57699483,0.74783208
165,0.643653553,1.122800998
166,0.92268444,1.197672733
167,0.645297725,0.797079139
168,1.061767944,0.920221168
169,0.784694632,0.719842843
170,0.860548982,0.766659423
171,1.448681145,1.87467351
172,0.894880911,0.856856186
173,0.60934798,0.600568073
174,0.630353363,0.652803944
175,1.133152457,0.921609212
176,1.08476801,1.275665231
177,0.84284892,0.95507077
178,0.654164905,0.651770071
179,0.7758534,0.571625365
180,0.7616471,0.840996218
181,1.10152142,0.791915262
182,0.588490703,0.630748047
183,0.746713897,0.954715022
184,1.18582911,0.89713079
185,0.671662434,0.747608779
186,0.338834257,0.438797525
187,0.555179522,0.643454424
188,0.852755583,0.941140258
189,1.034738121,1.274042885
190,1.065329083,1.189844329
191,0.268362069,0.442786181
192,0.702330584,0.911779153
193,0.612640848,0.819082397
194,0.436459107,0.327157209
195,0.346354669,0.555829613
196,0.904303968,0.545828695
197,0.475661303,0.468197326
198,0.7535218,0.730933048
199,0.598215637,0.395306189
200,0.567363111,0.784039352
201,0.673412447,0.77859501
202,0.831102375,0.824703542
