,M_ID,year,F_ID
1,1363-74503,2010,1363-74529
2,1363-74503,2011,1783-24617
3,1363-74513,2010,1603-79356
4,1363-74530,2011,1603-79333
5,1363-74532,2010,1603-79348
6,1363-74536,2011,1363-74538
7,1363-74537,2012,1783-24795
8,1363-74539,2012,1513-13459
9,1363-74542,2010,1603-79324
10,1363-74556,2010,1603-79275
11,1363-74558,2011,1603-78736
12,1363-74558,2015,1783-62673
13,1363-74580,2013,1713-24911
14,1363-74586,2013,1603-79345
15,1363-74590,2014,1603-78753
16,1363-74590,2010,1603-79260
17,1363-74590,2013,1603-79322
18,1363-74597,2014,1783-62640
19,1363-74598,2010,1363-74600
20,1363-74599,2010,1603-79151
21,1513-13455,2008,1573-28096
22,1513-13455,2008,1603-79105
23,1573-28035,2008,1603-79115
24,1573-28052,2009,1603-79198
25,1573-28094,2008,1513-13459
26,1583-92701,2010,1363-74557
27,1583-92701,2010,1363-74581
28,1583-92703,2012,1603-79101
29,1583-92739,2011,1603-78717
30,1583-92747,2016,1833-00312
31,1583-92749,2010,1603-79307
32,1603-78716,2014,1603-79153
33,1603-78719,2011,1603-78720
34,1603-78730,2016,1703-64547
35,1603-78735,2011,1603-78733
36,1603-78743,2008,1603-79114
37,1603-78743,2010,1603-79298
38,1603-78769,2008,1603-79174
39,1603-78776,2011,1783-24760
40,1603-78776,2013,1783-24805
41,1603-79115,2008,1363-74529
42,1603-79142,2009,1363-74543
43,1603-79144,2011,1783-24757
44,1603-79145,2012,1603-79158
45,1603-79150,2011,1603-78779
46,1603-79152,2011,1783-24819
47,1603-79154,2008,1603-79153
48,1603-79159,2008,1603-79160
49,1603-79161,2010,1783-24602
50,1603-79171,2010,1603-79332
51,1603-79232,2009,1363-74529
52,1603-79261,2009,1603-79136
53,1603-79263,2010,1603-79136
54,1603-79268,2009,1363-74521
55,1603-79268,2010,1603-79331
56,1603-79270,2011,1603-78782
57,1603-79294,2009,1363-74528
58,1603-79296,2009,1603-79203
59,1603-79297,2009,1603-79264
60,1603-79301,2010,1603-79315
61,1603-79303,2011,1603-79105
62,1603-79304,2010,1603-79302
63,1603-79310,2010,1603-79311
64,1603-79392,2012,1603-78725
65,1623-17890,2018,1833-00690
66,1703-64453,2015,1783-62620
67,1703-64454,2015,1783-62625
68,1703-64460,2015,1783-62690
69,1703-64461,2017,1833-00621
70,1703-64480,2015,1833-00536
71,1703-64587,2019,1833-00364
72,1703-64588,2017,1603-79331
73,1703-64607,2011,1783-24818
74,1703-64608,2013,1603-78775
75,1703-64645,2013,1603-78779
76,1703-64652,2017,1833-00310
77,1703-64668,2015,1783-43524
78,1703-64669,2014,1363-74600
79,1703-64669,2016,1703-64521
80,1703-64680,2009,1513-13458
81,1713-24972,2019,1603-79307
82,1783-24605,2013,1713-24910
83,1783-24630,2017,1603-79335
84,1783-24640,2011,1603-79155
85,1783-24642,2012,1783-24622
86,1783-24648,2012,1603-79258
87,1783-24649,2011,1783-24815
88,1783-24660,2011,1603-78761
89,1783-24667,2013,1603-79275
90,1783-24667,2018,1833-00627
91,1783-24677,2010,1603-79314
92,1783-24679,2011,1363-74531
93,1783-24692,2015,1783-43407
94,1783-24692,2019,1833-00349
95,1783-24759,2008,1363-74529
96,1783-24759,2008,1603-79157
97,1783-24759,2009,1603-79295
98,1783-24800,2013,1603-79356
99,1783-24827,2017,1583-92730
100,1783-43471,2018,1583-92730
101,1783-43472,2017,1833-00672
102,1783-43518,2013,1783-24602
103,1783-62627,2015,1783-62626
104,1783-62628,2016,1713-24934
105,1783-62631,2015,1783-62632
106,1783-62637,2016,1833-00517
107,1783-62642,2016,1833-00343
108,1783-62643,2015,1783-62638
109,1783-62650,2016,1833-00507
110,1783-62651,2016,1783-62653
111,1783-62654,2015,1783-62653
112,1783-62655,2017,1833-00530
113,1783-62657,2016,1783-62660
114,1783-62663,2015,1833-00530
115,1783-62664,2017,1783-62665
116,1783-62668,2016,1783-62635
117,1783-62678,2015,1783-62677
118,1783-62679,2015,1783-62687
119,1783-62754,2019,1623-17882
120,1783-62793,2019,1783-43524
121,1783-62794,2019,1833-00624
122,1783-62798,2019,1783-43476
123,1793-17824,2016,1603-79305
124,1793-17829,2017,1833-00679
125,1793-17830,2017,1833-00682
126,1793-17831,2019,1713-24950
127,1793-17831,2018,1783-62749
128,1793-17853,2019,1603-79335
129,1793-17861,2018,1833-00503
130,1793-17870,2020,1833-00695
131,1793-17871,2019,1783-62795
132,1833-00384,2017,1833-00659
133,1833-00386,2017,1783-24818
134,1833-00394,2019,1833-00349
135,1833-00395,2019,1833-00349
136,1833-00395,2017,1833-00659
137,1833-00401,2018,1833-00505
138,1833-00504,2019,1833-00621
139,1833-00505,2017,1833-00401
140,1833-00513,2010,1603-78715
141,1833-00539,2015,1783-62662
142,1833-00559,2016,1833-00560
143,1833-00561,2017,1783-62653
144,1833-00572,2017,1783-24818
145,1833-00603,2018,1833-00539
146,1833-00603,2016,1833-00602
147,1833-00636,2019,1833-00608
148,1833-00670,2020,1833-00679
149,1833-00671,2019,1833-00672
150,1833-00675,2018,1783-62708
151,1833-00684,2019,1713-24967
152,1833-00687,2018,1603-79313
153,1833-00696,2019,1783-62708
